playerId,names,age,shots,goals,expectedgoals,xGdifference,headers,preferred_foot,unpreferred_foot
120353,Mohamed Salah,26,136,31,17.5487,13.4513,2,24,5
8717,H. Kane,25,162,27,22.4653,4.5347,6,11,10
3359,L. Messi,31,142,26,17.4100,8.5900,0,24,2
7972,L. Su\u00e1rez,31,103,24,19.0805,4.9195,2,18,4
21174,E. Cavani,31,93,24,17.0683,6.9317,4,17,3
3322,Cristiano Ronaldo,33,151,23,22.3887,0.6113,5,11,7
206314,M. Icardi,25,87,23,15.1341,7.8659,4,16,3
14817,R. Lewandowski,30,106,23,19.2394,3.7606,5,12,6
21384,C. Immobile,28,102,22,13.1112,8.8888,5,15,2
25770,F. Thauvin,25,112,19,12.9095,6.0905,4,12,3
3840,Iago Aspas,31,85,19,12.5437,6.4563,3,10,6
25867,P. Aubameyang,29,73,19,14.1931,4.8069,2,11,6
395636,Maxi G\u00f3mez,22,77,18,13.3853,4.6147,10,8,0
8325,S. Ag\u00fcero,30,86,17,12.9074,4.0926,5,11,1
5167,Mariano D\u00edaz,25,85,17,12.8298,4.1702,3,12,2
11066,R. Sterling,24,79,17,14.3078,2.6922,0,10,7
89186,P. Dybala,25,87,16,6.9669,9.0331,0,12,4
3714,C. Stuani,32,64,16,11.6579,4.3421,10,5,1
7905,R. Lukaku,25,76,16,13.6184,2.3816,3,11,2
8327,E. D\u017eeko,32,144,16,18.7987,-2.7987,5,3,8
3682,A. Griezmann,27,58,16,7.6264,8.3736,1,9,6
25410,A. Pl\u00e9a,25,100,15,11.1878,3.8122,1,12,2
5400,Gerard Moreno,26,96,15,14.0565,0.9435,1,11,3
70129,Rodrigo,27,82,15,10.1563,4.8437,5,9,1
135913,Rony Lopes,23,64,15,7.2450,7.7550,0,11,4
3450,R. Falcao,32,57,15,8.7055,6.2945,5,7,3
8278,G. Bale,29,66,15,8.9016,6.0984,1,12,2
25716,N. Roux,30,78,15,8.9285,6.0715,8,7,0
12829,J. Vardy,31,60,15,10.5713,4.4287,3,6,6
3323,G. Higua\u00edn,31,95,15,10.1590,4.8410,2,8,5
118,M. Depay,24,82,15,9.5799,5.4201,1,11,3
26638,K. Toko Ekambi,26,95,14,12.4195,1.5805,2,8,4
15292,M. Uth,27,57,14,9.0076,4.9924,1,7,6
37831,C. Bacca,32,72,14,10.2488,3.7512,1,13,0
15231,K. Volland,26,51,14,7.4869,6.5131,0,11,3
15808,Roberto Firmino,27,79,14,8.5134,5.4866,3,9,2
269152,G. Simeone,23,100,14,14.3890,-0.3890,4,6,4
353833,K. Mbapp\u00e9,20,75,13,11.2865,1.7135,0,8,5
3802,Philippe Coutinho,26,79,13,5.3911,7.6089,1,12,0
340386,Gabriel Jesus,21,53,13,10.2629,2.7371,3,7,3
122,D. Mertens,31,102,13,10.3820,2.6180,0,9,4
22202,S. Zaza,27,63,13,8.2395,4.7605,2,10,1
4131,\u00c1ngel,31,65,13,7.9519,5.0481,2,11,0
40810,Neymar,26,70,13,9.2857,3.7143,0,5,8
25413,A. Lacazette,27,63,12,10.2271,1.7729,1,9,2
265865,S. Milinkovi\u0107-Savi\u0107,23,86,12,7.2291,4.7709,3,7,2
355599,Mikel Oyarzabal,21,57,12,6.3052,5.6948,0,10,2
247671,N. P\u00e9p\u00e9,23,59,12,5.3667,6.6333,2,1,9
333913,K. Lasagna,26,66,12,10.8590,1.1410,1,9,2
40770,Willian Jos\u00e9,27,71,12,7.9550,4.0450,5,3,4
20479,F. Quagliarella,35,97,12,10.9961,1.0039,1,8,3
8148,Iago Falqu\u00e9,28,66,12,7.5270,4.4730,1,8,3
28115,N. Fekir,25,69,12,7.5380,4.4620,0,10,2
65180,M. Gregoritsch,24,78,12,9.4187,2.5813,2,6,4
14911,Son Heung-Min,26,70,12,7.2676,4.7324,2,5,5
142755,B. Traor\u00e9,23,73,12,9.5675,2.4325,1,9,2
14705,N. F\u00fcllkrug,25,73,11,9.6381,1.3619,3,5,3
15085,S. Wagner,31,49,11,7.9254,3.0746,6,1,4
250885,Santi Mina,23,41,11,8.1376,2.8624,5,4,2
14703,M. Arnautovi\u0107,29,67,11,10.6220,0.3780,0,6,5
256084,Kwon Chang-Hoon,24,62,11,5.5213,5.4787,1,10,0
26150,R. Mahrez,27,62,11,5.5385,5.4615,1,9,1
173214,T. Werner,22,83,11,11.5002,-0.5002,1,8,2
3324,\u00c1lvaro Morata,26,74,11,10.5896,0.4104,7,3,1
86243,D. Zapata,27,51,11,8.1555,2.8445,2,5,4
7904,S. Kalou,33,46,11,8.2215,2.7785,5,5,1
3314,\u00c1. di Mar\u00eda,30,91,11,9.4998,1.5002,1,10,0
14812,I. Peri\u0161i\u0107,29,112,11,9.0807,1.9193,2,4,5
22933,L. Pavoletti,30,73,11,13.1879,-2.1879,9,1,1
21438,R. Inglese,27,70,11,9.0057,1.9943,5,4,2
64995,G. Burgstaller,29,48,11,7.1035,3.8965,2,7,2
97582,M. Konat\u00e9,25,61,11,8.3851,2.6149,4,5,2
8326,M. Balotelli,28,76,11,9.2055,1.7945,2,7,2
5268,Sergio Le\u00f3n,29,56,11,7.6187,3.3813,2,6,3
3287,Portu,26,43,11,7.1872,3.8128,1,8,2
14734,N. Petersen,30,54,10,7.1885,2.8115,2,6,2
245364,L. San\u00e9,22,48,10,4.0988,5.9012,0,10,0
54,C. Eriksen,26,80,10,6.1667,3.8333,0,4,6
